playdate,number,day,vteam,vleague,v_number,hteam,hleague,h_number,vscore,hscore,len_game,daynight,cinfo,finfo,pinfo,park_id,attendance,len_min,v_line_score,h_line_score,v_at_bats,v_hits,v_doubles,v_triples,v_hruns,v_rbi,v_sh,v_sf,v_hit_pitch,v_walks,v_in_walks,v_strkouts,v_stlbase,v_cau_stl,v_grd_dbl,v_af_ci,v_lft_base,v_ptc_used,v_in_er_rn,v_er_rns,v_wld_ptc,v_balks,v_putouts,v_assists,v_errors,v_pballs,v_dplays,v_tplays,h_bats,h_hits,h_doubles,h_triples,h_hruns,h_rbi,h_sac_hts,h_sac_fly,h_hit_pch,h_walks,h_in_walks,h_strkout,h_stl_bs,h_cug_stl,h_dbl_play,h_af_ci,h_lft_base,h_pch_used,h_in_runs,h_er_runs,h_wld_pitch,h_balks,h_putouts,h_assists,h_errors,h_pballs,h_dplays,h_tplays,hp_ump_id,hp_name,1b_ump_id,1b_ump_name,2b_ump_id,2b_ump_name,3b_ump_id,3b_ump_name,lf_ump_id,lf_ump_name,rf_ump_id,rf_ump_name,v_mid,v_mname,h_mid,h_mname,w_pch_id,w_pch_name,l_pch_id,l_pch_name,s_pch_id,s_pch_name,g_rbi_bt_id,g_rbi_bt_name,v_st_pch_id,v_st_pch_name,h_st_pch_id,h_st_pch_name,v_st_pl1_id,v_st_pl1_name,v_pl1_def_pos,v_st_pl2_id,v_st_pl2_name,v_pl2_def_pos,v_st_pl3_id,v_st_pl3_name,v_pl3_def_pos,v_st_pl4_id,v_st_pl4_name,v_pl4_def_pos,v_st_pl5_id,v_st_pl5_name,v_pl5_def_pos,v_st_pl6_id,v_st_pl6_name,v_pl6_def_pos,v_st_pl7_id,v_st_pl7_name,v_pl7_def_pos,v_st_pl8_id,v_st_pl8_name,v_pl8_def_pos,v_st_pl9_id,v_st_pl9_name,v_pl9_def_pos,h_st_pl1_id,h_st_pl1_name,h_pl1_def_pos,h_st_pl2_id,h_st_pl2_name,h_pl2_def_pos,h_st_pl3_id,h_st_pl3_name,h_pl3_def_pos,h_st_pl4_id,h_st_pl4_name,h_pl4_def_pos,h_st_pl5_id,h_st_pl5_name,h_pl5_def_pos,h_st_pl6_id,h_st_pl6_name,h_pl6_def_pos,h_st_pl7_id,h_st_pl7_name,h_pl7_def_pos,h_st_pl8_id,h_st_pl8_name,h_pl8_def_pos,h_st_pl9_id,h_st_pl9_name,h_pl9_def_pos,HTBF,ACQ
19010418,0,Thu,BRO,NL,1,PHI,NL,1,12,7,54,D,,,,PHI09,4593,125,610003011,3300100,42,17,4,4,0,11,0,-1,0,3,-1,6,3,-1,-1,0,6,1,4,0,0,0,27,14,3,0,1,0,40,12,2,1,0,5,0,-1,0,5,-1,4,1,-1,-1,0,11,2,11,0,0,0,27,13,1,0,0,0,colgh901,Harry Colgan,,(none),,(none),,(none),,(none),,(none),hanln101,Ned Hanlon,shetb801,Bill Shettsline,donob101,Bill Donovan,dunnj102,Jack Dunn,,(none),,(none),donob101,Bill Donovan,dunnj102,Jack Dunn,davil101,Lefty Davis,7,keelw101,Willie Keeler,9,shecj101,Jimmy Sheckard,5,kellj106,Joe Kelley,3,mccrt101,Tom McCreery,8,dalyt101,Tom Daly,4,dahlb102,Bill Dahlen,6,mcgud101,Deacon McGuire,2,donob101,Bill Donovan,1,thomr101,Roy Thomas,8,slagj102,Jimmy Slagle,7,delae101,Ed Delahanty,3,flice101,Elmer Flick,9,mcfae101,Ed McFarland,2,wolvh101,Harry Wolverton,5,dolaj101,Joe Dolan,4,crosm101,Monte Cross,6,dunnj102,Jack Dunn,1,,D
19010419,0,Fri,PHI,NL,2,BRO,NL,2,2,10,51,D,,,,NYC12,7600,116,10001,01421002x,29,4,0,1,1,2,0,-1,1,2,-1,6,0,-1,-1,0,3,1,10,0,0,0,24,7,0,0,1,0,31,8,3,0,1,10,1,-1,1,10,-1,6,4,-1,-1,0,9,1,2,0,0,0,27,13,0,0,2,0,colgh901,Harry Colgan,,(none),,(none),,(none),,(none),,(none),shetb801,Bill Shettsline,hanln101,Ned Hanlon,mccag101,Gene McCann,townh101,Happy Townsend,,(none),,(none),townh101,Happy Townsend,mccag101,Gene McCann,thomr101,Roy Thomas,8,slagj102,Jimmy Slagle,7,delae101,Ed Delahanty,3,flice101,Elmer Flick,9,dougk101,Klondike Douglass,2,wolvh101,Harry Wolverton,5,dolaj101,Joe Dolan,4,crosm101,Monte Cross,6,townh101,Happy Townsend,1,davil101,Lefty Davis,7,keelw101,Willie Keeler,9,shecj101,Jimmy Sheckard,5,kellj106,Joe Kelley,3,mccrt101,Tom McCreery,8,dalyt101,Tom Daly,4,dahlb102,Bill Dahlen,6,mcgud101,Deacon McGuire,2,mccag101,Gene McCann,1,,D
19010419,0,Fri,NY1,NL,1,BSN,NL,1,0,7,51,D,,,,BOS05,6500,88,0,00112003x,32,5,0,0,0,0,1,-1,0,1,-1,5,0,-1,-1,0,7,1,6,0,1,0,24,13,2,2,1,0,37,15,2,0,0,5,0,-1,0,1,-1,4,3,-1,-1,0,7,1,0,0,0,0,27,13,2,0,0,0,odayh101,Hank O'Day,,(none),,(none),,(none),,(none),,(none),davig102,George Davis,selef801,Frank Selee,nichk101,Kid Nichols,tayld102,Dummy Taylor,,(none),,(none),tayld102,Dummy Taylor,nichk101,Kid Nichols,vanhg101,George Van Haltren,8,selbk101,Kip Selbach,7,davig102,George Davis,6,hickc101,Charlie Hickman,9,stras102,Sammy Strang,5,ganzj101,John Ganzel,3,murpd106,Danny Murphy,4,bowef102,Frank Bowerman,2,tayld102,Dummy Taylor,1,hamib101,Billy Hamilton,8,tennf102,Fred Tenney,3,demog101,Gene DeMontreville,5,longh101,Herman Long,6,loweb101,Bobby Lowe,4,crolf101,Fred Crolius,9,barrs101,Shad Barry,7,kittm101,Malachi Kittridge,2,nichk101,Kid Nichols,1,,D
19010419,0,Fri,CHN,NL,1,SLN,NL,1,8,7,54,D,,,,STL05,5000,127,413000,200220100,42,18,2,2,0,6,0,-1,1,0,-1,4,2,-1,-1,0,8,1,4,0,0,0,27,18,2,0,2,0,40,14,1,3,1,5,0,-1,0,1,-1,2,2,-1,-1,0,7,1,6,0,0,0,27,13,0,1,0,0,emslb101,Bob Emslie,,(none),,(none),,(none),,(none),,(none),loftt101,Tom Loftus,donop101,Patsy Donovan,taylj101,Jack Taylor,powej105,Jack Powell,,(none),,(none),taylj101,Jack Taylor,powej105,Jack Powell,chilc101,Cupid Childs,4,hartt102,Topsy Hartsel,7,dolac101,Cozy Dolan,9,greed103,Danny Green,8,doylj103,Jack Doyle,3,delaj103,Jim Delahanty,5,mccob104,Barry McCormick,6,klinj101,Johnny Kling,2,taylj101,Jack Taylor,1,burkj101,Jesse Burkett,7,heide101,Emmet Heidrick,8,donop101,Patsy Donovan,9,mcgad102,Dan McGann,3,wallb101,Bobby Wallace,6,paddd102,Dick Padden,4,krueo101,Otto Krueger,5,ryanj103,Jack Ryan,2,powej105,Jack Powell,1,,D
19010420,0,Sat,PIT,NL,1,CIN,NL,1,4,2,54,D,,,,CIN05,3000,95,4000,100010000,34,6,0,3,0,3,1,-1,0,2,-1,7,0,-1,-1,0,6,1,2,0,1,0,27,15,2,0,0,0,35,9,1,2,0,1,0,-1,1,0,-1,6,1,-1,-1,0,7,1,3,0,0,0,27,11,4,0,0,0,dwyef101,Frank Dwyer,,(none),,(none),,(none),,(none),,(none),clarf101,Fred Clarke,mcphb101,Bid McPhee,leevs101,Sam Leever,hahnn101,Noodles Hahn,,(none),,(none),leevs101,Sam Leever,hahnn101,Noodles Hahn,clarf101,Fred Clarke,7,beaug101,Ginger Beaumont,8,wagnh101,Honus Wagner,9,brank101,Kitty Bransfield,3,ritcc101,Claude Ritchey,4,leact101,Tommy Leach,5,ely-b101,Bones Ely,6,oconj104,Jack O'Connor,2,leevs101,Sam Leever,1,dobbj101,John Dobbs,8,harld101,Dick Harley,7,beckj103,Jake Beckley,3,craws101,Sam Crawford,9,magog101,George Magoon,4,irwic101,Charlie Irwin,5,corct101,Tommy Corcoran,6,peith101,Heinie Peitz,2,hahnn101,Noodles Hahn,1,,D
19010420,0,Sat,CHN,NL,2,SLN,NL,2,9,11,51,D,,,,STL05,3500,95,4100022,24400100x,40,15,0,2,1,9,1,-1,1,3,-1,-1,0,-1,-1,0,9,1,6,0,0,0,24,15,4,0,1,0,32,10,2,1,2,10,2,-1,3,6,-1,5,3,-1,-1,0,8,1,9,0,0,0,27,13,0,1,1,0,emslb101,Bob Emslie,,(none),,(none),,(none),,(none),,(none),loftt101,Tom Loftus,donop101,Patsy Donovan,jonec107,Cowboy Jones,hught103,Tom Hughes,,(none),,(none),hught103,Tom Hughes,jonec107,Cowboy Jones,chilc101,Cupid Childs,4,hartt102,Topsy Hartsel,7,dolac101,Cozy Dolan,9,greed103,Danny Green,8,doylj103,Jack Doyle,3,delaj103,Jim Delahanty,5,mccob104,Barry McCormick,6,klinj101,Johnny Kling,2,hught103,Tom Hughes,1,burkj101,Jesse Burkett,7,heide101,Emmet Heidrick,8,donop101,Patsy Donovan,9,mcgad102,Dan McGann,3,wallb101,Bobby Wallace,6,paddd102,Dick Padden,4,krueo101,Otto Krueger,5,nicha101,Art Nichols,2,jonec107,Cowboy Jones,1,,D
19010421,0,Sun,CHN,NL,3,SLN,NL,3,5,12,51,D,,,,STL05,11000,110,10040000,03000414x,32,7,1,2,0,3,0,-1,1,4,-1,3,1,-1,-1,0,5,1,6,0,0,0,24,21,2,0,0,0,33,12,0,3,0,8,2,-1,3,3,-1,1,2,-1,-1,0,5,1,1,0,0,0,27,21,1,1,0,0,emslb101,Bob Emslie,,(none),,(none),,(none),,(none),,(none),loftt101,Tom Loftus,donop101,Patsy Donovan,sudhw101,Willie Sudhoff,menej101,Jock Menefee,,(none),,(none),menej101,Jock Menefee,sudhw101,Willie Sudhoff,chilc101,Cupid Childs,4,hartt102,Topsy Hartsel,7,dolac101,Cozy Dolan,9,greed103,Danny Green,8,doylj103,Jack Doyle,3,delaj103,Jim Delahanty,5,mccob104,Barry McCormick,6,chanf101,Frank Chance,2,menej101,Jock Menefee,1,burkj101,Jesse Burkett,7,heide101,Emmet Heidrick,8,donop101,Patsy Donovan,9,mcgad102,Dan McGann,3,wallb101,Bobby Wallace,6,paddd102,Dick Padden,4,krueo101,Otto Krueger,5,nicha101,Art Nichols,2,sudhw101,Willie Sudhoff,1,,D
19010422,0,Mon,BRO,NL,3,PHI,NL,3,3,9,51,D,,,,PHI09,2070,105,200100,40005000x,31,6,3,1,0,2,1,-1,0,1,-1,4,1,-1,-1,0,3,2,9,0,0,0,24,11,2,0,0,0,32,11,1,0,1,9,2,-1,0,3,-1,3,2,-1,-1,0,4,1,2,0,0,0,27,5,3,0,0,0,colgh901,Harry Colgan,,(none),,(none),,(none),,(none),,(none),hanln101,Ned Hanlon,shetb801,Bill Shettsline,whitd104,Doc White,kitsf101,Frank Kitson,,(none),,(none),kitsf101,Frank Kitson,whitd104,Doc White,davil101,Lefty Davis,7,keelw101,Willie Keeler,9,shecj101,Jimmy Sheckard,5,kellj106,Joe Kelley,3,mccrt101,Tom McCreery,8,dalyt101,Tom Daly,4,dahlb102,Bill Dahlen,6,steef101,Farmer Steelman,2,kitsf101,Frank Kitson,1,thomr101,Roy Thomas,8,slagj102,Jimmy Slagle,7,delae101,Ed Delahanty,3,flice101,Elmer Flick,9,mcfae101,Ed McFarland,2,wolvh101,Harry Wolverton,5,dolaj101,Joe Dolan,4,crosm101,Monte Cross,6,whitd104,Doc White,1,,D
19010423,0,Tue,BSN,NL,2,PHI,NL,4,3,5,51,D,,,,PHI09,1214,100,20000010,00010004x,34,9,1,0,0,3,0,-1,0,2,-1,1,0,-1,-1,0,6,1,3,0,0,0,24,9,2,0,2,0,32,8,1,1,1,5,0,-1,0,1,-1,6,1,-1,-1,0,4,1,3,0,0,0,27,22,1,0,0,0,colgh901,Harry Colgan,,(none),,(none),,(none),,(none),,(none),selef801,Frank Selee,shetb801,Bill Shettsline,ortha101,Al Orth,willv101,Vic Willis,,(none),,(none),willv101,Vic Willis,ortha101,Al Orth,hamib101,Billy Hamilton,8,tennf102,Fred Tenney,3,demog101,Gene DeMontreville,5,longh101,Herman Long,6,loweb101,Bobby Lowe,4,crolf101,Fred Crolius,9,barrs101,Shad Barry,7,kittm101,Malachi Kittridge,2,willv101,Vic Willis,1,thomr101,Roy Thomas,8,slagj102,Jimmy Slagle,7,delae101,Ed Delahanty,3,flice101,Elmer Flick,9,dougk101,Klondike Douglass,2,wolvh101,Harry Wolverton,5,dolaj101,Joe Dolan,4,crosm101,Monte Cross,6,ortha101,Al Orth,1,,D
19010423,0,Tue,PIT,NL,2,SLN,NL,4,4,10,51,D,,,,STL05,3500,110,21001000,20000053x,34,8,0,2,0,4,0,-1,0,3,-1,4,1,-1,-1,0,6,2,6,0,1,0,24,12,5,0,1,0,36,10,3,1,0,7,0,-1,2,6,-1,4,1,-1,-1,0,10,1,4,0,0,0,27,12,2,1,0,0,dwyef101,Frank Dwyer,,(none),,(none),,(none),,(none),,(none),clarf101,Fred Clarke,donop101,Patsy Donovan,harpj102,Jack Harper,waddr101,Rube Waddell,,(none),,(none),waddr101,Rube Waddell,harpj102,Jack Harper,clarf101,Fred Clarke,7,beaug101,Ginger Beaumont,8,wagnh101,Honus Wagner,9,brank101,Kitty Bransfield,3,ritcc101,Claude Ritchey,4,leact101,Tommy Leach,5,ely-b101,Bones Ely,6,zimmc101,Chief Zimmer,2,waddr101,Rube Waddell,1,burkj101,Jesse Burkett,7,heide101,Emmet Heidrick,8,donop101,Patsy Donovan,9,mcgad102,Dan McGann,3,wallb101,Bobby Wallace,6,paddd102,Dick Padden,4,krueo101,Otto Krueger,5,schrp101,Pop Schriver,2,harpj102,Jack Harper,1,,D
